TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
WAS,WAS @ CHA,2022-04-10,L,12,26,9,26,34.6,3,5,60.0,5,6,83.3,6,4,10,6,4,4,0,3,-9,0
UTA,UTA @ POR,2022-04-10,W,12,33,13,20,65.0,4,7,57.1,3,4,75.0,3,11,14,7,5,1,2,5,9,0
TOR,TOR @ NYK,2022-04-10,L,12,22,6,22,27.3,4,13,30.8,6,7,85.7,1,7,8,5,2,2,0,7,-10,0
SAS,SAS @ DAL,2022-04-10,L,12,38,14,21,66.7,5,9,55.6,5,5,100.0,0,4,4,10,0,3,1,4,5,0
SAC,SAC @ PHX,2022-04-10,W,12,30,7,15,46.7,3,6,50.0,13,17,76.5,1,9,10,4,5,1,1,7,-2,0
POR,POR vs. UTA,2022-04-10,L,12,24,10,23,43.5,1,6,16.7,3,3,100.0,2,4,6,6,2,3,3,3,-9,1
PHX,PHX vs. SAC,2022-04-10,L,12,32,12,26,46.2,4,13,30.8,4,5,80.0,2,9,11,7,1,3,1,13,2,1
PHI,PHI vs. DET,2022-04-10,W,12,25,11,26,42.3,1,10,10.0,2,2,100.0,4,8,12,6,1,2,1,2,7,1
ORL,ORL vs. MIA,2022-04-10,W,12,24,9,24,37.5,5,19,26.3,1,1,100.0,1,11,12,7,1,1,0,0,1,1
OKC,OKC @ LAC,2022-04-10,L,12,21,8,20,40.0,3,9,33.3,2,2,100.0,2,3,5,3,5,2,0,5,-22,0
NYK,NYK vs. TOR,2022-04-10,W,12,32,11,19,57.9,5,11,45.5,5,5,100.0,0,12,12,10,4,0,2,7,10,1
NOP,NOP vs. GSW,2022-04-10,L,12,31,11,24,45.8,7,14,50.0,2,2,100.0,4,2,6,7,2,3,0,3,-8,1
MIN,MIN vs. CHI,2022-04-10,L,12,33,14,25,56.0,1,4,25.0,4,5,80.0,5,9,14,8,2,0,1,7,6,1
MIL,MIL @ CLE,2022-04-10,L,12,36,11,18,61.1,4,7,57.1,10,13,76.9,1,6,7,7,2,4,0,3,14,0
MIA,MIA @ ORL,2022-04-10,L,12,23,10,22,45.5,3,9,33.3,0,0,0.0,1,13,14,4,2,0,1,3,-1,0
MEM,MEM vs. BOS,2022-04-10,L,12,31,10,25,40.0,4,14,28.6,7,9,77.8,5,8,13,8,2,1,2,3,-4,1
LAL,LAL @ DEN,2022-04-10,W,12,40,11,20,55.0,7,12,58.3,11,11,100.0,1,9,10,9,2,1,1,1,13,0
LAC,LAC vs. OKC,2022-04-10,W,12,43,16,21,76.2,7,9,77.8,4,4,100.0,2,9,11,10,2,1,1,1,22,1
IND,IND @ BKN,2022-04-10,L,12,32,11,22,50.0,5,11,45.5,5,8,62.5,2,5,7,8,2,4,0,6,1,0
HOU,HOU vs. ATL,2022-04-10,L,12,23,7,20,35.0,3,11,27.3,6,7,85.7,1,8,9,5,5,0,0,8,-5,1
GSW,GSW @ NOP,2022-04-10,W,12,39,16,22,72.7,6,9,66.7,1,1,100.0,3,8,11,8,3,1,0,3,8,0
DET,DET @ PHI,2022-04-10,L,12,18,7,19,36.8,2,9,22.2,2,4,50.0,4,9,13,5,6,0,1,1,-7,0
DEN,DEN vs. LAL,2022-04-10,L,12,27,11,25,44.0,3,12,25.0,2,2,100.0,4,7,11,7,4,2,0,9,-13,1
DAL,DAL vs. SAS,2022-04-10,W,12,33,12,21,57.1,5,8,62.5,4,4,100.0,4,6,10,9,4,0,1,4,-5,1
CLE,CLE vs. MIL,2022-04-10,W,12,22,10,17,58.8,2,4,50.0,0,0,0.0,0,6,6,9,8,0,0,9,-14,1
CHI,CHI @ MIN,2022-04-10,W,12,27,9,17,52.9,2,4,50.0,7,9,77.8,1,5,6,6,3,2,1,7,-6,0
CHA,CHA vs. WAS,2022-04-10,W,12,35,13,20,65.0,7,11,63.6,2,2,100.0,1,10,11,7,6,2,4,5,9,1
BOS,BOS @ MEM,2022-04-10,W,12,35,13,28,46.4,5,15,33.3,4,4,100.0,5,9,14,10,2,2,0,6,4,0
BKN,BKN vs. IND,2022-04-10,W,12,31,11,17,64.7,2,6,33.3,7,8,87.5,1,9,10,4,6,1,0,6,-1,1
ATL,ATL @ HOU,2022-04-10,W,12,28,6,17,35.3,5,12,41.7,11,12,91.7,3,8,11,5,5,2,2,7,5,0
SAS,SAS vs. GSW,2022-04-09,L,12,23,9,21,42.9,3,8,37.5,2,3,66.7,0,10,10,5,2,1,1,6,1,1
SAC,SAC @ LAC,2022-04-09,L,12,27,10,20,50.0,3,7,42.9,4,7,57.1,5,7,12,7,5,3,1,6,2,0
PHI,PHI vs. IND,2022-04-09,W,12,33,12,23,52.2,5,13,38.5,4,5,80.0,4,7,11,10,5,3,1,8,3,1
NOP,NOP @ MEM,2022-04-09,L,12,34,11,24,45.8,2,8,25.0,10,10,100.0,2,6,8,8,4,4,0,6,12,0
MEM,MEM vs. NOP,2022-04-09,W,12,22,9,21,42.9,3,10,30.0,1,5,20.0,5,5,10,8,6,2,4,6,-12,1
LAC,LAC vs. SAC,2022-04-09,W,12,25,7,16,43.8,4,9,44.4,7,8,87.5,3,4,7,6,5,1,1,6,-2,1
IND,IND @ PHI,2022-04-09,L,12,30,9,17,52.9,1,4,25.0,11,13,84.6,1,7,8,5,4,2,1,6,-3,0
GSW,GSW @ SAS,2022-04-09,W,12,22,6,16,37.5,2,6,33.3,8,10,80.0,1,10,11,5,3,1,0,6,-1,0
WAS,WAS vs. NYK,2022-04-08,L,12,20,6,14,42.9,1,7,14.3,7,9,77.8,0,12,12,2,6,1,2,3,0,1
UTA,UTA vs. PHX,2022-04-08,L,12,13,3,20,15.0,1,9,11.1,6,7,85.7,2,4,6,2,3,0,0,5,-23,1
TOR,TOR vs. HOU,2022-04-08,W,12,32,14,24,58.3,1,6,16.7,3,3,100.0,3,9,12,6,3,5,1,5,12,1
POR,POR @ DAL,2022-04-08,L,12,9,2,16,12.5,1,7,14.3,4,4,100.0,0,10,10,2,5,2,2,4,-12,0
PHX,PHX @ UTA,2022-04-08,W,12,36,14,21,66.7,2,6,33.3,6,7,85.7,2,14,16,9,2,1,1,6,23,0
OKC,OKC @ LAL,2022-04-08,L,12,19,7,23,30.4,0,7,0.0,5,6,83.3,1,8,9,5,1,1,1,7,-11,0
NYK,NYK @ WAS,2022-04-08,W,12,20,7,24,29.2,3,11,27.3,3,3,100.0,3,7,10,5,2,4,0,7,0,0
MIL,MIL @ DET,2022-04-08,W,12,41,17,27,63.0,2,7,28.6,5,6,83.3,2,10,12,10,1,2,0,5,8,0
MIA,MIA vs. ATL,2022-04-08,W,12,22,6,12,50.0,2,5,40.0,8,10,80.0,0,8,8,3,6,4,0,2,0,1
LAL,LAL vs. OKC,2022-04-08,W,12,30,10,20,50.0,2,7,28.6,8,11,72.7,2,15,17,5,3,1,1,3,11,1
HOU,HOU @ TOR,2022-04-08,L,12,20,7,17,41.2,1,4,25.0,5,9,55.6,1,6,7,4,5,2,0,5,-12,0
DET,DET vs. MIL,2022-04-08,L,12,33,11,22,50.0,4,11,36.4,7,7,100.0,1,6,7,11,2,0,0,5,-8,1
DAL,DAL vs. POR,2022-04-08,W,12,21,8,21,38.1,1,6,16.7,4,4,100.0,1,14,15,6,4,4,0,7,12,1
CLE,CLE @ BKN,2022-04-08,L,12,19,9,21,42.9,1,5,20.0,0,0,0.0,3,4,7,5,3,1,2,4,-16,0
CHI,CHI vs. CHA,2022-04-08,L,12,34,12,21,57.1,5,7,71.4,5,6,83.3,0,10,10,7,2,4,1,1,12,1
