index,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT,Opponent,OppPTS,OppFGM,OppFGA,OppFG%,Opp3PM,Opp3PA,Opp3P%,OppFTM,OppFTA,OppFT%,OppOREB,OppDREB,OppREB,OppAST,OppTOV,OppSTL,OppBLK,OppPF,Pos,OppPos,Pace,OFFRTG,DEFRTG,Margin,formatted_date,week_of_season
0,WAS,WAS @ CHA,2022-04-10,L,12,26,9,26,34.6,3,5,60.0,5,6,83.3,6,4,10,6,4,4,0,3,-9,0,CHA,35,13,20,65.0,7,11,63.6,2,2,100.0,1,10,11,7,6,2,4,5,25.440375,25.440375,101.7615,102.19975137945096,137.57658839541477,-16,2022-04-10,24
2,TOR,TOR @ NYK,2022-04-10,L,12,22,6,22,27.3,4,13,30.8,6,7,85.7,1,7,8,5,2,2,0,7,-10,0,NYK,32,11,19,57.9,5,11,45.5,5,5,100.0,0,12,12,10,4,0,2,7,25.24153846153846,25.24153846153846,100.96615384615384,87.15792039982935,126.77515694520632,-11,2022-04-10,24
3,SAS,SAS @ DAL,2022-04-10,L,12,38,14,21,66.7,5,9,55.6,5,5,100.0,0,4,4,10,0,3,1,4,5,0,DAL,33,12,21,57.1,5,8,62.5,4,4,100.0,4,6,10,9,4,0,1,4,22.3925,22.3925,89.57,169.6996762308809,147.3707714636597,-10,2022-04-10,24
4,SAC,SAC @ PHX,2022-04-10,W,12,30,7,15,46.7,3,6,50.0,13,17,76.5,1,9,10,4,5,1,1,7,-2,0,PHX,32,12,26,46.2,4,13,30.8,4,5,80.0,2,9,11,7,1,3,1,13,26.110181818181818,26.110181818181818,104.44072727272727,114.89770622397393,122.55755330557218,7,2022-04-10,24
6,PHX,PHX vs. SAC,2022-04-10,L,12,32,12,26,46.2,4,13,30.8,4,5,80.0,2,9,11,7,1,3,1,13,2,1,SAC,30,7,15,46.7,3,6,50.0,13,17,76.5,1,9,10,4,5,1,1,7,26.110181818181818,26.110181818181818,104.44072727272727,122.55755330557218,114.89770622397393,-7,2022-04-10,24
7,PHI,PHI vs. DET,2022-04-10,W,12,25,11,26,42.3,1,10,10.0,2,2,100.0,4,8,12,6,1,2,1,2,7,1,DET,18,7,19,36.8,2,9,22.2,2,4,50.0,4,9,13,5,6,0,1,1,22.590769230769233,22.590769230769233,90.36307692307693,110.66466902751293,79.67856169980931,12,2022-04-10,24
8,ORL,ORL vs. MIA,2022-04-10,W,12,24,9,24,37.5,5,19,26.3,1,1,100.0,1,11,12,7,1,1,0,0,1,1,MIA,23,10,22,45.5,3,9,33.3,0,0,0.0,1,13,14,4,2,0,1,3,23.591785714285713,23.591785714285713,94.36714285714285,101.73032381125392,97.49156031911835,14,2022-04-10,24
10,NYK,NYK vs. TOR,2022-04-10,W,12,32,11,19,57.9,5,11,45.5,5,5,100.0,0,12,12,10,4,0,2,7,10,1,TOR,22,6,22,27.3,4,13,30.8,6,7,85.7,1,7,8,5,2,2,0,7,25.24153846153846,25.24153846153846,100.96615384615384,126.77515694520632,87.15792039982935,11,2022-04-10,24
11,NOP,NOP vs. GSW,2022-04-10,L,12,31,11,24,45.8,7,14,50.0,2,2,100.0,4,2,6,7,2,3,0,3,-8,1,GSW,39,16,22,72.7,6,9,66.7,1,1,100.0,3,8,11,8,3,1,0,3,21.855666666666664,21.855666666666664,87.42266666666666,141.8396449433404,178.4434242835573,-21,2022-04-10,24
12,MIN,MIN vs. CHI,2022-04-10,L,12,33,14,25,56.0,1,4,25.0,4,5,80.0,5,9,14,8,2,0,1,7,6,1,CHI,27,9,17,52.9,2,4,50.0,7,9,77.8,1,5,6,6,3,2,1,7,22.929499999999997,22.929499999999997,91.71799999999999,143.91940513312548,117.75224056346629,-4,2022-04-10,24
14,MIA,MIA @ ORL,2022-04-10,L,12,23,10,22,45.5,3,9,33.3,0,0,0.0,1,13,14,4,2,0,1,3,-1,0,ORL,24,9,24,37.5,5,19,26.3,1,1,100.0,1,11,12,7,1,1,0,0,23.591785714285713,23.591785714285713,94.36714285714285,97.49156031911835,101.73032381125392,-14,2022-04-10,24
16,LAL,LAL @ DEN,2022-04-10,W,12,40,11,20,55.0,7,12,58.3,11,11,100.0,1,9,10,9,2,1,1,1,13,0,DEN,27,11,25,44.0,3,12,25.0,2,2,100.0,4,7,11,7,4,2,0,9,25.193509615384613,25.193509615384613,100.77403846153845,158.77105099947525,107.17045942464578,0,2022-04-10,24
18,IND,IND @ BKN,2022-04-10,L,12,32,11,22,50.0,5,11,45.5,5,8,62.5,2,5,7,8,2,4,0,6,1,0,BKN,31,11,17,64.7,2,6,33.3,7,8,87.5,1,9,10,4,6,1,0,6,25.095,25.095,100.38,127.5154413229727,123.53058378162982,-8,2022-04-10,24
19,HOU,HOU vs. ATL,2022-04-10,L,12,23,7,20,35.0,3,11,27.3,6,7,85.7,1,8,9,5,5,0,0,8,-5,1,ATL,28,6,17,35.3,5,12,41.7,11,12,91.7,3,8,11,5,5,2,2,7,24.922222222222224,24.922222222222224,99.6888888888889,92.2871154703522,112.3495318769505,-16,2022-04-10,24
20,GSW,GSW @ NOP,2022-04-10,W,12,39,16,22,72.7,6,9,66.7,1,1,100.0,3,8,11,8,3,1,0,3,8,0,NOP,31,11,24,45.8,7,14,50.0,2,2,100.0,4,2,6,7,2,3,0,3,21.855666666666664,21.855666666666664,87.42266666666666,178.4434242835573,141.8396449433404,21,2022-04-10,24
21,DET,DET @ PHI,2022-04-10,L,12,18,7,19,36.8,2,9,22.2,2,4,50.0,4,9,13,5,6,0,1,1,-7,0,PHI,25,11,26,42.3,1,10,10.0,2,2,100.0,4,8,12,6,1,2,1,2,22.590769230769233,22.590769230769233,90.36307692307693,79.67856169980931,110.66466902751293,-12,2022-04-10,24
22,DEN,DEN vs. LAL,2022-04-10,L,12,27,11,25,44.0,3,12,25.0,2,2,100.0,4,7,11,7,4,2,0,9,-13,1,LAL,40,11,20,55.0,7,12,58.3,11,11,100.0,1,9,10,9,2,1,1,1,25.193509615384613,25.193509615384613,100.77403846153845,107.17045942464578,158.77105099947525,0,2022-04-10,24
23,DAL,DAL vs. SAS,2022-04-10,W,12,33,12,21,57.1,5,8,62.5,4,4,100.0,4,6,10,9,4,0,1,4,-5,1,SAS,38,14,21,66.7,5,9,55.6,5,5,100.0,0,4,4,10,0,3,1,4,22.3925,22.3925,89.57,147.3707714636597,169.6996762308809,10,2022-04-10,24
25,CHI,CHI @ MIN,2022-04-10,W,12,27,9,17,52.9,2,4,50.0,7,9,77.8,1,5,6,6,3,2,1,7,-6,0,MIN,33,14,25,56.0,1,4,25.0,4,5,80.0,5,9,14,8,2,0,1,7,22.929499999999997,22.929499999999997,91.71799999999999,117.75224056346629,143.91940513312548,4,2022-04-10,24
26,CHA,CHA vs. WAS,2022-04-10,W,12,35,13,20,65.0,7,11,63.6,2,2,100.0,1,10,11,7,6,2,4,5,9,1,WAS,26,9,26,34.6,3,5,60.0,5,6,83.3,6,4,10,6,4,4,0,3,25.440375,25.440375,101.7615,137.57658839541477,102.19975137945096,16,2022-04-10,24
28,BKN,BKN vs. IND,2022-04-10,W,12,31,11,17,64.7,2,6,33.3,7,8,87.5,1,9,10,4,6,1,0,6,-1,1,IND,32,11,22,50.0,5,11,45.5,5,8,62.5,2,5,7,8,2,4,0,6,25.095,25.095,100.38,123.53058378162982,127.5154413229727,8,2022-04-10,24
29,ATL,ATL @ HOU,2022-04-10,W,12,28,6,17,35.3,5,12,41.7,11,12,91.7,3,8,11,5,5,2,2,7,5,0,HOU,23,7,20,35.0,3,11,27.3,6,7,85.7,1,8,9,5,5,0,0,8,24.922222222222224,24.922222222222224,99.6888888888889,112.3495318769505,92.2871154703522,16,2022-04-10,24
30,SAS,SAS vs. GSW,2022-04-09,L,12,23,9,21,42.9,3,8,37.5,2,3,66.7,0,10,10,5,2,1,1,6,1,1,GSW,22,6,16,37.5,2,6,33.3,8,10,80.0,1,10,11,5,3,1,0,6,23.113636363636363,23.113636363636363,92.45454545454545,99.50835791543756,95.18190757128811,-6,2022-04-09,24
32,PHI,PHI vs. IND,2022-04-09,W,12,33,12,23,52.2,5,13,38.5,4,5,80.0,4,7,11,10,5,3,1,8,3,1,IND,30,9,17,52.9,1,4,25.0,11,13,84.6,1,7,8,5,4,2,1,6,25.424999999999997,25.424999999999997,101.69999999999999,129.79351032448378,117.99410029498527,13,2022-04-09,24
36,IND,IND @ PHI,2022-04-09,L,12,30,9,17,52.9,1,4,25.0,11,13,84.6,1,7,8,5,4,2,1,6,-3,0,PHI,33,12,23,52.2,5,13,38.5,4,5,80.0,4,7,11,10,5,3,1,8,25.424999999999997,25.424999999999997,101.69999999999999,117.99410029498527,129.79351032448378,-13,2022-04-09,24
