TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
WAS,WAS @ CHA,2022-04-10,L,36,82,33,68,0.4852941176470588,5,18,0.2777777777777778,11,20,0.55,11,22,33,19,7,8,3,13,-7,0
UTA,UTA @ POR,2022-04-10,W,36,78,24,62,0.3870967741935484,5,29,0.1724137931034483,25,34,0.7352941176470589,12,34,46,16,12,7,4,11,22,0
TOR,TOR @ NYK,2022-04-10,L,36,72,30,70,0.42857142857142855,8,29,0.27586206896551724,4,4,1.0,8,27,35,22,12,8,2,10,-1,0
SAS,SAS @ DAL,2022-04-10,L,36,82,29,68,0.4264705882352941,6,22,0.2727272727272727,18,18,1.0,7,24,31,16,8,12,2,13,-15,0
SAC,SAC @ PHX,2022-04-10,W,36,86,33,61,0.5409836065573771,11,20,0.55,9,13,0.6923076923076923,1,29,30,22,10,8,6,11,9,0
POR,POR vs. UTA,2022-04-10,L,36,56,21,60,0.35,8,28,0.2857142857142857,6,9,0.6666666666666666,3,23,26,15,14,8,5,24,-22,1
PHX,PHX vs. SAC,2022-04-10,L,36,77,30,77,0.38961038961038963,10,34,0.29411764705882354,7,10,0.7,16,23,39,20,10,6,6,12,-9,1
PHI,PHI vs. DET,2022-04-10,W,36,93,35,62,0.5645161290322581,4,15,0.26666666666666666,19,21,0.9047619047619048,6,24,30,19,10,11,5,21,5,1
ORL,ORL vs. MIA,2022-04-10,W,36,101,36,67,0.5373134328358209,18,39,0.46153846153846156,11,13,0.8461538461538461,5,31,36,26,9,3,3,16,13,1
OKC,OKC @ LAC,2022-04-10,L,36,67,29,78,0.3717948717948718,6,25,0.24,3,7,0.42857142857142855,10,25,35,14,5,4,2,11,-28,0
NYK,NYK vs. TOR,2022-04-10,W,36,73,29,68,0.4264705882352941,10,32,0.3125,5,7,0.7142857142857143,10,26,36,22,13,6,3,10,1,1
NOP,NOP vs. GSW,2022-04-10,L,36,76,31,75,0.41333333333333333,7,26,0.2692307692307692,7,10,0.7,14,22,36,17,10,7,0,14,-13,1
MIN,MIN vs. CHI,2022-04-10,L,36,87,32,66,0.48484848484848486,10,27,0.37037037037037035,13,17,0.7647058823529411,4,14,18,22,11,7,8,16,-10,1
MIL,MIL @ CLE,2022-04-10,L,36,79,28,70,0.4,8,23,0.34782608695652173,15,19,0.7894736842105263,7,27,34,20,10,3,2,11,-32,0
MIA,MIA @ ORL,2022-04-10,L,36,88,30,72,0.4166666666666667,16,41,0.3902439024390244,12,16,0.75,9,24,33,16,8,5,3,10,-13,0
MEM,MEM vs. BOS,2022-04-10,L,36,79,29,77,0.37662337662337664,11,33,0.3333333333333333,10,18,0.5555555555555556,14,18,32,19,8,10,4,13,-25,1
LAL,LAL @ DEN,2022-04-10,W,36,95,29,67,0.43283582089552236,8,29,0.27586206896551724,29,34,0.8529411764705882,12,21,33,15,9,3,4,17,-13,0
LAC,LAC vs. OKC,2022-04-10,W,36,95,38,76,0.5,11,26,0.4230769230769231,8,10,0.8,10,36,46,24,7,3,7,10,28,1
IND,IND @ BKN,2022-04-10,L,36,94,36,82,0.43902439024390244,14,35,0.4,8,11,0.7272727272727273,9,14,23,24,5,12,1,17,-9,0
HOU,HOU vs. ATL,2022-04-10,L,36,91,34,69,0.4927536231884058,14,35,0.4,9,13,0.6923076923076923,5,20,25,19,3,4,4,11,-11,1
GSW,GSW @ NOP,2022-04-10,W,36,89,33,59,0.559322033898305,13,24,0.5416666666666666,10,12,0.8333333333333334,4,26,30,25,14,4,2,12,13,0
DET,DET @ PHI,2022-04-10,L,36,88,31,64,0.484375,9,25,0.36,17,25,0.68,11,18,29,21,14,4,3,15,-5,0
DEN,DEN vs. LAL,2022-04-10,L,36,108,38,67,0.5671641791044776,12,31,0.3870967741935484,20,24,0.8333333333333334,6,24,30,26,10,7,7,22,13,1
DAL,DAL vs. SAS,2022-04-10,W,36,97,34,64,0.53125,15,28,0.5357142857142857,14,19,0.7368421052631579,6,27,33,25,12,5,2,12,15,1
CLE,CLE vs. MIL,2022-04-10,W,36,111,41,77,0.5324675324675324,17,34,0.5,12,17,0.7058823529411765,10,32,42,30,4,5,5,17,32,1
CHI,CHI @ MIN,2022-04-10,W,36,97,35,66,0.5303030303030303,8,17,0.47058823529411764,19,24,0.7916666666666666,15,27,42,16,20,7,2,15,10,0
CHA,CHA vs. WAS,2022-04-10,W,36,89,35,69,0.5072463768115942,11,22,0.5,8,12,0.6666666666666666,10,27,37,27,14,4,5,15,7,1
BOS,BOS @ MEM,2022-04-10,W,36,104,41,71,0.5774647887323944,13,33,0.3939393939393939,9,9,1.0,9,33,42,24,13,3,2,14,25,0
BKN,BKN vs. IND,2022-04-10,W,36,103,41,64,0.640625,6,16,0.375,15,17,0.8823529411764706,7,33,40,26,15,4,6,10,9,1
ATL,ATL @ HOU,2022-04-10,W,36,102,39,70,0.5571428571428572,16,26,0.6153846153846154,8,12,0.6666666666666666,10,29,39,24,8,2,2,12,11,0
SAS,SAS vs. GSW,2022-04-09,L,36,71,23,59,0.3898305084745763,7,23,0.30434782608695654,18,24,0.75,4,27,31,14,10,4,2,18,-7,1
SAC,SAC @ LAC,2022-04-09,L,36,71,28,66,0.42424242424242425,4,21,0.19047619047619047,11,17,0.6470588235294118,2,28,30,17,8,9,1,10,-21,0
PHI,PHI vs. IND,2022-04-09,W,36,100,38,67,0.5671641791044776,7,21,0.3333333333333333,17,22,0.7727272727272727,10,21,31,27,10,11,2,16,10,1
NOP,NOP @ MEM,2022-04-09,L,36,80,30,67,0.44776119402985076,4,22,0.18181818181818182,16,25,0.64,7,14,21,15,12,6,3,16,-39,0
