index,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT,Opponent,OppPTS,OppFGM,OppFGA,OppFG%,Opp3PM,Opp3PA,Opp3P%,OppFTM,OppFTA,OppFT%,OppOREB,OppDREB,OppREB,OppAST,OppTOV,OppSTL,OppBLK,OppPF,Pos,OppPos,Pace,OFFRTG,DEFRTG,Margin,formatted_date,week_of_season,PTS/Q
0,WAS,WAS @ CHA,2022-04-10,L,36,82,33,68,0.4852941176470588,5,18,0.2777777777777778,11,20,0.55,11,22,33,19,7,8,3,13,-7,0,CHA,89,35,69,0.5072463768115942,11,22,0.5,8,12,0.6666666666666666,10,27,37,27,14,4,5,15,74.29523026315789,74.29523026315789,99.06030701754385,110.3704769600301,119.79234694442293,-16,2022-04-10,24,27.333333333333332
2,TOR,TOR @ NYK,2022-04-10,L,36,72,30,70,0.4285714285714285,8,29,0.2758620689655172,4,4,1.0,8,27,35,22,12,8,2,10,-1,0,NYK,73,29,68,0.4264705882352941,10,32,0.3125,5,7,0.7142857142857143,10,26,36,22,13,6,3,10,73.02551669316375,73.02551669316375,97.367355590885,98.59567348564923,99.96505783961658,-11,2022-04-10,24,24.0
3,SAS,SAS @ DAL,2022-04-10,L,36,82,29,68,0.4264705882352941,6,22,0.2727272727272727,18,18,1.0,7,24,31,16,8,12,2,13,-15,0,DAL,97,34,64,0.53125,15,28,0.5357142857142857,14,19,0.7368421052631579,6,27,33,25,12,5,2,12,75.89426470588235,75.89426470588235,101.19235294117647,108.04505494292562,127.80939426175348,-10,2022-04-10,24,27.333333333333332
4,SAC,SAC @ PHX,2022-04-10,W,36,86,33,61,0.5409836065573771,11,20,0.55,9,13,0.6923076923076923,1,29,30,22,10,8,6,11,9,0,PHX,77,30,77,0.3896103896103896,10,34,0.2941176470588235,7,10,0.7,16,23,39,20,10,6,6,12,74.03538888888889,74.03538888888889,98.71385185185184,116.1606649072478,104.00431625416373,7,2022-04-10,24,28.666666666666668
6,PHX,PHX vs. SAC,2022-04-10,L,36,77,30,77,0.3896103896103896,10,34,0.2941176470588235,7,10,0.7,16,23,39,20,10,6,6,12,-9,1,SAC,86,33,61,0.5409836065573771,11,20,0.55,9,13,0.6923076923076923,1,29,30,22,10,8,6,11,74.03538888888889,74.03538888888889,98.71385185185184,104.00431625416373,116.1606649072478,-7,2022-04-10,24,25.666666666666668
7,PHI,PHI vs. DET,2022-04-10,W,36,93,35,62,0.5645161290322581,4,15,0.2666666666666666,19,21,0.9047619047619048,6,24,30,19,10,11,5,21,5,1,DET,88,31,64,0.484375,9,25,0.36,17,25,0.68,11,18,29,21,14,4,3,15,75.04003571428572,75.04003571428572,100.05338095238096,123.93384293431933,117.27073309914087,12,2022-04-10,24,31.0
8,ORL,ORL vs. MIA,2022-04-10,W,36,101,36,67,0.5373134328358209,18,39,0.4615384615384615,11,13,0.8461538461538461,5,31,36,26,9,3,3,16,13,1,MIA,88,30,72,0.4166666666666667,16,41,0.3902439024390244,12,16,0.75,9,24,33,16,8,5,3,10,75.88476724137931,75.88476724137931,101.17968965517241,133.09654054644787,115.96530265433083,14,2022-04-10,24,33.666666666666664
10,NYK,NYK vs. TOR,2022-04-10,W,36,73,29,68,0.4264705882352941,10,32,0.3125,5,7,0.7142857142857143,10,26,36,22,13,6,3,10,1,1,TOR,72,30,70,0.4285714285714285,8,29,0.2758620689655172,4,4,1.0,8,27,35,22,12,8,2,10,73.02551669316375,73.02551669316375,97.367355590885,99.96505783961658,98.59567348564923,11,2022-04-10,24,24.333333333333332
11,NOP,NOP vs. GSW,2022-04-10,L,36,76,31,75,0.4133333333333333,7,26,0.2692307692307692,7,10,0.7,14,22,36,17,10,7,0,14,-13,1,GSW,89,33,59,0.559322033898305,13,24,0.5416666666666666,10,12,0.8333333333333334,4,26,30,25,14,4,2,12,73.02099999999999,73.02099999999999,97.3613333333333,104.07964832034622,121.88274605935281,-21,2022-04-10,24,25.333333333333332
12,MIN,MIN vs. CHI,2022-04-10,L,36,87,32,66,0.4848484848484848,10,27,0.3703703703703703,13,17,0.7647058823529411,4,14,18,22,11,7,8,16,-10,1,CHI,97,35,66,0.5303030303030303,8,17,0.4705882352941176,19,24,0.7916666666666666,15,27,42,16,20,7,2,15,78.77445494994438,78.77445494994438,105.03260659992584,110.44189395570223,123.13636452532317,-4,2022-04-10,24,29.0
14,MIA,MIA @ ORL,2022-04-10,L,36,88,30,72,0.4166666666666667,16,41,0.3902439024390244,12,16,0.75,9,24,33,16,8,5,3,10,-13,0,ORL,101,36,67,0.5373134328358209,18,39,0.4615384615384615,11,13,0.8461538461538461,5,31,36,26,9,3,3,16,75.88476724137931,75.88476724137931,101.17968965517241,115.96530265433083,133.09654054644787,-14,2022-04-10,24,29.333333333333332
16,LAL,LAL @ DEN,2022-04-10,W,36,95,29,67,0.4328358208955223,8,29,0.2758620689655172,29,34,0.8529411764705882,12,21,33,15,9,3,4,17,-13,0,DEN,108,38,67,0.5671641791044776,12,31,0.3870967741935484,20,24,0.8333333333333334,6,24,30,26,10,7,7,22,77.87555555555554,77.87555555555554,103.83407407407404,121.98949891564892,138.68279876726405,0,2022-04-10,24,31.666666666666668
18,IND,IND @ BKN,2022-04-10,L,36,94,36,82,0.4390243902439024,14,35,0.4,8,11,0.7272727272727273,9,14,23,24,5,12,1,17,-9,0,BKN,103,41,64,0.640625,6,16,0.375,15,17,0.8823529411764706,7,33,40,26,15,4,6,10,79.2247619047619,79.2247619047619,105.63301587301586,118.6497727983074,130.0098574279326,-8,2022-04-10,24,31.333333333333332
